28,26,2
125,87,4
173,28,1
157,169,3
81,20,4
31,165,3
127,86,4
62,85,4
161,151,4
164,100,1
104,85,4
87,104,3
148,86,4
58,21,4
168,151,4
27,155,2
173,165,1
27,70,2
79,86,4
64,169,3
104,102,0
27,104,2
69,38,3
25,33,2
26,137,2
133,38,3
27,28,2
44,169,3
172,35,1
139,39,3
27,66,2
111,85,4
72,20,4
136,104,0
57,39,3
153,102,3
86,86,4
84,21,4
25,104,2
161,101,1
109,87,4
94,86,4
27,69,2
26,117,0
163,92,1
99,101,3
93,167,3
27,168,3
49,61,1
162,87,1
61,21,4
100,85,4
25,139,2
25,77,0
27,153,2
63,86,4
174,76,4
172,153,1
164,97,1
167,167,3
147,86,4
162,100,1
95,86,4
66,39,3
99,150,4
48,137,1
63,167,3
26,107,2
94,104,3
121,101,3
75,169,3
161,89,4
82,21,4
67,151,4
158,101,0
102,86,4
148,104,3
122,22,4
29,169,3
74,104,3
155,169,3
174,22,0
29,20,4
31,167,3
26,152,2
25,91,2
82,89,4
31,20,4
176,75,4
28,154,2
61,151,4
173,155,1
62,20,4
96,87,4
123,101,3
163,89,4
40,20,4
28,168,2
85,86,4
28,103,2
173,80,4
162,22,4
174,36,0
171,109,3
165,168,3
131,169,3
56,166,3
129,21,4
115,85,4
26,20,4
76,102,3
26,155,2
27,165,2
26,46,2
26,169,3
176,74,4
172,151,0
60,169,3
26,103,2
121,87,0
25,142,2
107,86,4
154,103,3
152,103,3
172,20,1
26,165,2
162,101,1
105,100,3
172,109,3
133,85,0
48,48,1
26,92,2
107,102,3
163,86,4
172,24,1
158,104,3
161,104,3
142,21,4
113,85,4
153,104,3
146,166,3
127,169,3
136,151,4
94,102,3
67,169,3
152,85,4
174,168,1
136,102,3
86,87,0
144,38,3
127,102,0
161,39,3
88,166,3
131,151,4
26,136,2
27,63,2
92,167,3
159,86,4
167,150,4
142,167,3
26,114,2
85,88,0
26,166,2
135,38,3
93,151,4
84,89,0
58,151,4
65,150,4
84,102,3
120,21,4
100,151,4
28,135,0
164,85,4
27,44,2
26,56,0
175,76,4
136,39,3
46,169,3
110,150,4
106,85,4
47,168,3
154,151,4
141,168,3
66,150,4
109,86,4
97,85,4
123,103,3
135,87,4
92,168,3
122,102,3
28,24,2
166,99,3
143,87,0
118,85,4
125,169,3
139,87,4
139,22,4
174,33,0
165,98,3
69,150,4
155,85,4
75,104,3
134,102,3
28,138,0
43,168,3
170,167,3
140,167,3
159,150,4
171,167,3
48,55,1
164,101,3
153,86,0
171,169,1
85,166,3
161,22,4
84,22,4
147,168,3
25,140,2
126,168,3
89,104,0
163,90,1
173,161,1
52,86,4
159,102,1
160,102,0
25,169,3
82,169,3
159,103,3
112,86,4
163,21,4
29,166,3
138,88,4
59,20,4
160,104,3
26,97,0
22,169,3
156,86,0
104,20,4
124,104,3
97,38,3
149,151,4
52,21,4
25,52,2
172,160,1
25,27,2
25,64,2
68,168,3
28,166,2
154,168,3
63,103,0
132,151,4
115,103,3
135,103,3
117,102,3
84,38,3
178,71,4
122,85,0
47,39,1
27,22,2
171,81,4
162,103,3
74,38,3
134,20,4
26,69,2
143,22,4
87,168,3
53,169,3
157,167,3
68,104,3
